,Sentiment,SentimentText,SentimentLema,SentimentStem
38,0,*spluttering and flailing* whhhhhhhhhhhhhy?!! you're so good at it..,splutter flail whhhhhhhhhhhhhy good ..,splutter flail whhhhhhhhhhhhhy good ..
39,1,<MENTION> you should come to Austin,come Austin,come austin
40,1,<MENTION> awwww jim jam we're good at dodging meatballs WOO,awwww jim jam good dodge meatball WOO,awwww jim jam good dodge meatball woo
41,0,<MENTION> I'm running out of questions over here! He won't answer one of the biggest ones that I have for him,run question will answer big one,run question will answer big on
42,0,<MENTION> So sad about Farrah Fawcett My condolences to Ryan and her family. What a fight she put up!! God Bless Farrah,sad Farrah Fawcett condolence Ryan family fight God Bless Farrah,sad farrah fawcett condolence ryan family fight god bless farrah
43,0,<MENTION> that really blows can you still draw?,blow draw,blow draw
44,0,"<MENTION><MENTION> ,, ill prob. be the 1st one sleep lol siiiiiiike!!!",MENTION><MENTION ill prob 1st sleep lol siiiiiiike,mention><mention ill prob 1st sleep lol siiiiiiik
45,1,<MENTION> lol kk goodnighhhtttt!! love u too!!,lol kk goodnighhhtttt love u,lol kk goodnighhhtttt love u
46,1,<HASHTAG> Predict the future of blogging in a tweet! Dare to accept the challenge? @ me so that I dont miss it out,Predict future blogging tweet Dare accept challenge not miss,predict future blogging tweet dare accept challenge not miss
47,1,<MENTION> hope you have a good<HASHTAG> and ...........Hi,hope good ........... Hi,hope good ........... hi
48,1,<HASHTAG> everyone visit www.short-stack.org!,visit www.short-stack.org,visit www.short-stack.org
49,1,<MENTION> awwww.....DEW is da best!! He still you fav Malina??,awwww ..... DEW da well fav Malina,awwww ..... dew da well fav malina
50,0,"<MENTION> unfortunately, that looks like our only options",unfortunately look like option,unfortunately look like opt
51,1,<MENTION> I MISS YOU MORE. YOU COMPLETE ME,MISS COMPLETE,miss complet
52,0,"<MENTION> it was demi-l.org ... i adopted it, but didn't do anything with it lol i gave it up right away haha. i had no time at all",demi-l.org ... adopt lol give right away haha time,demi-l.org ... adopt lol give right away haha tim
53,1,<MENTION> hehehhehehe Messi knows that the Champions League trophy will GUARANTEE his leading spot on the BALLON d'OR list,hehehhehehe Messi know Champions League trophy GUARANTEE lead spot BALLON d'OR list,hehehhehehe messi know champions league trophy guarantee lead spot ballon d'or list
54,1,"<MENTION> yep, I agree! They are usually a Sunday affair, but I'm making an exception for tomorrow",yep agree usually Sunday affair make exception tomorrow,yep agree usually sunday affair make exception tomorrow
55,0,<MENTION> for what?? school?? ... August 15,school ... August 15,school ... august 15
56,1,<MENTION> at least i'll no someone if i go then ..,..,..
57,1,"<MENTION> shit. I read it wrong, I thought he was joking by only letting it be put out at a very specific time",shit read wrong think joke let specific time,shit read wrong think joke let specific tim
58,0,<MENTION> pics didn't show up,pic,pic
59,1,"<MENTION> There, on my family's place, thinking about the Summit, I can't wait to stay and colaborate on the new album!",family place think Summit wait stay colaborate new album,family place think summit wait stay colaborate new album
60,0,"<MENTION> I was hoping to see it in its IMAX brilliance-but it's gone! (there yesterday Haven't seen Terminator, maybe go there",hope IMAX brilliance go yesterday see Terminator maybe,hope imax brilliance go yesterday see terminator mayb
61,1,"<MENTION> not talkin to me :'( haha, im only joking mmm eggy bread, want some baba ;o i love you xxx",talkin :'( haha be joke mmm eggy bread want baba o love xxx,talkin :'( haha be joke mmm eggy bread want baba o love xxx
62,1,<MENTION> and you should too its time to pump up those old mussels,time pump old mussel,time pump old mussel
63,0,"<MENTION> no problem and yeah he always looks good haha.<MENTION> no I'm sorry, that's the only one I have",problem yes look good haha.<MENTION sorry,problem yes look good haha.<mention sorri
64,0,"Polly has gone back home now won't see her till Friday now sniffel, sniffel, whimper, whimper <URL>",Polly go home will till Friday sniffel sniffel whimper whimper,polly go home will till friday sniffel sniffel whimper whimp
65,0,"<MENTION> you tell me not to take my bad moods on you, but you just did then? oh well, it doesn't matter",tell bad mood oh matt,tell bad mood oh matt
66,1,<MENTION> My Uncle John from Jamaica!,Uncle John Jamaica,uncle john jamaica
67,1,<MENTION> look at you spotting the (ex) big wigs!,look spot ex big wig,look spot ex big wig
68,1,"<MENTION> have no fear, trisha is here. lol kidding",fear trisha lol kid,fear trisha lol kid
69,0,<MENTION> haha thanx!!! glad u hadfun i miss the jumpy tho,haha thanx glad u hadfun miss jumpy tho,haha thanx glad u hadfun miss jumpy tho
70,1,<MENTION> well done for spotting it!,spot,spot
71,1,"<MENTION> My blogging engine is a scientifically designed combination of ColdFusion, ducttape, rubber bands, and luck",blogging engine scientifically design combination ColdFusion ducttape rubber band luck,blogging engine scientifically design combination coldfusion ducttape rubber band luck
72,1,<MENTION> I miss you. can't wait for tonight haha,miss wait tonight haha,miss wait tonight haha
73,0,<MENTION> broxei com ele,broxei com ele,broxei com el
74,0,@ work at the moment,work moment,work moment
75,0,<MENTION> I feel the same on the relationship front. I feel u will grow to be an old spinster woman LOL x,feel relationship feel u grow old spinster woman LOL x,feel relationship feel u grow old spinster woman lol x
76,1,<MENTION> Thank you!<HASHTAG>,Thank you!<HASHTAG,thank you!<hashtag
77,1,Pretty sure nothing can foul my mood now.,Pretty sure foul mood,pretty sure foul mood
78,1,<MENTION> thank you,thank,thank
79,1,<MENTION> Thank you,Thank,thank
80,0,@ the mtv movie awards but i don't pay for a publisist so im not on the carpet,mtv movie award pay publisist be carpet,mtv movie award pay publisist be carpet
81,0,<MENTION> good luck with your op - seems like forever to wait tho ... 12 month lease ...,good luck op like forever wait tho ... 12 month lease ...,good luck op like forever wait tho ... 12 month lease ...
82,0,"<MENTION> oh it is to, Earth song is beautiful I think Gone too soon is SO beautiful makes me think of the ones that went to soon",oh Earth song beautiful think Gone soon beautiful make think one go soon,oh earth song beautiful think gone soon beautiful make think one go soon
83,0,<MENTION> I guess we're both in the same situation.. I've just caught tons of 'Sermon' from my always-right sister. :|,guess situation .. catch ton Sermon right sister :|,guess situation .. catch ton sermon right sister :|
84,1,"<MENTION> hahaha.. yeaps! after a my normal workout routine somemore.. hoho... it's a good day tmr, bodyPump.. wednesday Latin.. haha",hahaha .. yeaps normal workout routine somemore .. hoho ... good day tmr bodyPump .. wednesday Latin .. haha,hahaha .. yeaps normal workout routine somemore .. hoho ... good day tmr bodypump .. wednesday latin .. haha
85,0,"<MENTION> i think it only exists in the north west, which is sad",think exist north west sad,think exist north west sad
86,0,<MENTION> we should but nah i cant go to jesses show. gotta go to sacramento. so bummed.,nah not jesses get to sacramento bum,nah not jesses get to sacramento bum
87,1,"<MENTION> i feel like a nerd saying it, but the new star trek looks kinda cool, i might see it haha. Let me know how it goes!",feel like nerd say new star trek look kinda cool haha Let know go,feel like nerd say new star trek look kinda cool haha let know go
88,1,*satisfied*,satisfy,satisfi
89,1,<MENTION> Where do you go to college?,college,colleg
90,1,"<MENTION> haha ok, i was like ÃÂ¿? , but the i get it",haha okay like ÃÂ ¿,haha okay like ãâ ¿
91,0,<MENTION> does your followers list show<MENTION> following you? UR not showing up in my list,follower list follow UR show list,follower list follow ur show list
92,1,<MENTION> wee in the bath come on we all let a little out,wee bath come let little,wee bath come let littl
93,0,<MENTION> werd boo? u cheatin on me again?,werd boo u cheatin,werd boo u cheatin
94,0,<MENTION> thats another one but from the parents perpective. I almost did it to mine. I still beat myself for it. How could I?!?!,s parent perpective beat,s parent perpective beat
95,1,<MENTION><MENTION> I'm still here.,MENTION><MENTION,mention><ment
96,1,<MENTION> : How bout the song 'Neethaane',bout song Neethaane,bout song neethaan
97,0,<MENTION> agree with you about facehunter embarrassing representation. compare to swedes who all look like they were born stylish.,agree facehunter embarrass representation compare swede look like bear stylish,agree facehunter embarrass representation compare swede look like bear stylish
98,1,<MENTION> Thanks for the FF mention.,Thanks FF mention,thanks ff ment
99,1,"<MENTION> Thanks for the kind words. But, they're unfinished (3 more feet to the corner, and they're cluttered as well.",Thanks kind word unfinished 3 foot corner clutter,thanks kind word unfinished 3 foot corner clutt
100,1,"<MENTION> Excellent, I love it",Excellent love,excellent lov
101,0,<MENTION> Next time...,time ...,time ...
102,1,<MENTION> so my friend locked himself in a rm & had a make-shft kareokee sesh to an audiosalve cd last nite---it was hysterical lol,friend lock rm shft kareokee sesh audiosalve cd nite --- hysterical lol,friend lock rm shft kareokee sesh audiosalve cd nite --- hysterical lol
103,1,<MENTION> got to go for now seeya soon,get seeya soon,get seeya soon
104,1,"<MENTION> wow, thank you for the recommendation in your blog. i feel like a celebrity",wow thank recommendation blog feel like celebrity,wow thank recommendation blog feel like celebr
105,1,<MENTION> YaY Andy! Great win today! Second week here we come!,YaY Andy Great win today Second week come,yay andy great win today second week com
106,1,<MENTION> which do you prefer?<HASHTAG> or<HASHTAG> ?,prefer?<HASHTAG,prefer?<hashtag
107,0,<MENTION> SAD DAY! there's always next year. We still need to photo safari. A-SAP!,SAD DAY year need photo safari SAP,sad day year need photo safari sap
108,1,<MENTION> we're great! I start grad school in July... moving the Beantown...,great start grad school July ... move Beantown ...,great start grad school july ... move beantown ...
109,0,<MENTION> YAAY BA IS BACK! I didn't know you were gone!,YAAY BA know go,yaay ba know go
110,0,<MENTION> That was a tough time in my life and I have no need/want to remember it,tough time life need want remember,tough time life need want rememb
111,0,<MENTION> Meeee toooooo!!,Meeee toooooo,meeee toooooo
112,1,<MENTION> yeah THE FASHION DISTRICT. LOL but tell me why I need go searching for those leggings tho!,yes FASHION DISTRICT LOL tell need search legging tho,yes fashion district lol tell need search legging tho
113,0,"<MENTION> unfortunately haven't been tweeting today due 2 meetings...but<MENTION>, hasn't talked 2 me lately. I don't think she luvs me",unfortunately tweet today 2 meeting ... talk 2 lately think luvs,unfortunately tweet today 2 meeting ... talk 2 lately think luv
114,1,<MENTION> Hiya Babe . Hope Ya Have A Lovely Day Im Off Out On My Drivin Lesson Now Talk Later Love Youuuu xxx,Hiya Babe Hope Ya Lovely Day be Drivin Lesson Talk Later Love Youuuu xxx,hiya babe hope ya lovely day be drivin lesson talk later love youuuu xxx
115,0,ughhh..,ughhh ..,ughhh ..
116,0,";; looking for my beautiful mommy on twitter, still can't find her....",look beautiful mommy twitter find ....,look beautiful mommy twitter find ....
117,1,<MENTION> best thing ive ever gotten off my mum haha oh thank you,well thing have get mum haha oh thank,well thing have get mum haha oh thank
118,0,"<MENTION> and you were still busy setting up, so didn't say hi, then didn't get back",busy set hello,busy set hello
119,1,<MENTION> Hey im from venezuela! how are you?,Hey be venezuela,hey be venezuela
120,1,? boys over flowers! ? Lee Min Ho! ? Kim Bum! already at episode 10. Ã¯Â¿Â½,boy flower Lee Min Ho Kim Bum episode 10 Ã¯Â¿Â½,boy flower lee min ho kim bum episode 10 ã¯â¿â½
121,0,"<MENTION> Don't know about that, i'm not a club person...And i'm pretty fried, beach got to me.",know club person ... pretty fry beach get,know club person ... pretty fry beach get
122,0,"<MENTION><MENTION> fuck you guys are lucky, i can never get tickets to concerts, tryed for KoRn and AC/DC",MENTION><MENTION fuck guy lucky ticket concert tryed KoRn AC DC,mention><mention fuck guy lucky ticket concert tryed korn ac dc
123,0,"<HASHTAG> - I don't wanna see this happen in my country. If you're STILL not aware of what's happening, WTH is wrong with you.",wanna happen country aware happen WTH wrong,wanna happen country aware happen wth wrong
124,1,<MENTION> happy birthday!!!!!,happy birthday,happy birthday
125,1,<MENTION> hiya norge!,hiya norge,hiya norg
126,0,'It's amazing what you can hide...Just by putting on a smile...',amaze hide ... putt smile ...,amaze hide ... putt smile ...
127,1,<MENTION> if you tell us type<HASHTAG> or<HASHTAG> we will tweet it til our fingers bleed.. we can make it,tell type tweet til finger bleed ..,tell type tweet til finger bleed ..
128,0,...been dealing w/ horrible pains all morning! I'm hoping they will ease up very very soon!!,... deal w/ horrible pain morning hope ease soon,... deal w/ horrible pain morning hope ease soon
129,0,<MENTION> haha.. i still havent seen twilight. i cannot roleplay il watch it later and il join.. lmao is there private twitter?,haha .. not see twilight roleplay il watch late il join .. lmao private twitter,haha .. not see twilight roleplay il watch late il join .. lmao private twitt
130,1,<MENTION> fun fact: a LOT of girls from my old school are going to be there!,fun fact LOT girl old school go,fun fact lot girl old school go
131,0,<MENTION> I'm so sorry about the show Fingers crossed that something else can be worked out Sending you hugs.,sorry Fingers cross work Sending hug,sorry fingers cross work sending hug
132,1,"- go & try the yummo & super hot 'plecing kangkung' + ayam bakar taliwang.. **sexy food from exotic country,Indonesia",try yummo super hot plecing kangkung ayam bakar taliwang .. sexy food exotic country Indonesia,try yummo super hot plecing kangkung ayam bakar taliwang .. sexy food exotic country indonesia
133,1,'caught',catch,catch
134,1,<MENTION><MENTION> Booom diia amr's,MENTION><MENTION Booom diia amr,mention><mention booom diia amr
135,1,"<MENTION> you too, seems like you're halfway there already, great news",like halfway great news,like halfway great new
136,1,<MENTION> yea that movie is good,yea movie good,yea movie good
137,1,<MENTION> good mornin!!!! What R u up 2? im getting off work in 2 hours,good mornin R u 2 be get work 2 hour,good mornin r u 2 be get work 2 hour
138,1,<MENTION> Oooh Did you absoloutely love it!?,Oooh absoloutely love,oooh absoloutely lov
139,1,"'Fate fell short this time, your smile fades in the summer. place your hand in mine, i'll leave when i wanna.'",Fate fall short time smile fade summer place hand leave wanna,fate fall short time smile fade summer place hand leave wanna
140,0,' Thinking about school,Thinking school,thinking school
141,0,<MENTION> i'm not happy at that;always sad at the end of a mac.let me know if you want the data rescuing off it-or is it being replaced?,happy that;always sad end mac.let know want datum rescue replace,happy that;always sad end mac.let know want datum rescue replac
142,1,"<MENTION> I have always wanted to go to Nova Scotia, it looks so beautiful, enjoy your berries",want Nova Scotia look beautiful enjoy berry,want nova scotia look beautiful enjoy berri
143,0,<MENTION> we discussed this before! And it makes me sad,discuss make sad,discuss make sad
144,0,<MENTION> not yet!,,
145,1,"<MENTION> nobody haha, i know a lot of people, they gave me shout outa for free",haha know lot people give shout outa free,haha know lot people give shout outa fre
146,1,<MENTION>: i dyed mine too! what color is yours?,dye color,dye color
147,0,so tired from work <URL>,tire work,tire work
148,1,<MENTION> OH MY GOSH! im so happy for you!,OH GOSH be happy,oh gosh be happi
149,1,<MENTION> yea its been so sunny here today in Cambridge,yea sunny today Cambridge,yea sunny today cambridg
150,0,"<MENTION> haha, yeah he's as bad as the rest of us! - i'm feelin a bit better.. but i havent been well since i got back..",haha yes bad rest feelin bite well .. not get ..,haha yes bad rest feelin bite well .. not get ..
151,1,"<MENTION> I wouldn't want to live on it, but on a really cold night like tonight it's really appreciated. May have double",want live cold night like tonight appreciate double,want live cold night like tonight appreciate doubl
152,1,"<MENTION> Yeh i know. I hope it'll be great & remembeeeer: USA = GREAT, BAC = NOT GREAT xD",Yeh know hope great remembeeeer USA GREAT BAC GREAT xD,yeh know hope great remembeeeer usa great bac great xd
153,1,"<MENTION> You too, my friend. 90 is just a bit too hot for me.",friend 90 bite hot,friend 90 bite hot
154,1,"<MENTION> CONGRATULATION ASH! I love you so much, you deserve it, i can't wait for your new cd! Have a nice day",CONGRATULATION ASH love deserve wait new cd nice day,congratulation ash love deserve wait new cd nice day
155,0,<MENTION> Sorry for the delay on that. Still haven't figured out why you & two others didn't get the e-mail.,Sorry delay figure e mail,sorry delay figure e mail
156,1,<MENTION> btw do u have exam is dats the reason ur studying well if it is gudluck with ur exam,btw u exam dats reason ur study gudluck ur exam,btw u exam dats reason ur study gudluck ur exam
157,1,<MENTION> but it is kind of a goal for us. and it will motivation us to study ard to achieve our goal.,kind goal motivation study ard achieve goal,kind goal motivation study ard achieve go
158,1,<MENTION> let me know how it went i wanted to come but i just got home,let know go want come get home,let know go want come get hom
159,1,<MENTION> Congrats! I found that during my 3rd year of teaching and 3rd year of principalship I finally started getting it.,Congrats find 3rd year teach 3rd year principalship finally start get,congrats find 3rd year teach 3rd year principalship finally start get
160,1,<MENTION><MENTION> Always a pleasure!,MENTION><MENTION pleasure,mention><mention pleasur
161,0,<MENTION> It's true. We missed you!,true miss,true miss
162,1,<MENTION> I'm not used to being peaceful that's all I think I need to to come down there and enjoy the wildlife it would be dope,peaceful think need come enjoy wildlife dope,peaceful think need come enjoy wildlife dop
163,1,<MENTION> Lovee Youu Abigaillyy!,Lovee Youu Abigaillyy,lovee youu abigaillyy
164,0,'Oh lord won't chu buy meeeeeeeeee...' I want some new new wheels,Oh lord will chu buy meeeeeeeeee ... want new new wheel,oh lord will chu buy meeeeeeeeee ... want new new wheel
165,1,<MENTION><MENTION> Some like the new <URL> and some don't - tough world pleasing us all eh!,MENTION><MENTION like new tough world please eh,mention><mention like new tough world please eh
166,0,<HASHTAG> teeth that look like you've been chewing on rocks ur entire life.,tooth look like chew rock ur entire life,tooth look like chew rock ur entire lif
167,0,<MENTION> dude text me back! what u get?? I wanna go shopping! U go to liverpool?,dude text u wanna shop U liverpool,dude text u wanna shop u liverpool
168,1,<MENTION> I love Stavros Flatley!,love Stavros Flatley,love stavros flatley
169,0,<MENTION> I switched to linux.. Yamli is great.. but mesh bas7melo for long writings,switch linux .. Yamli great .. mesh bas7melo long writing,switch linux .. yamli great .. mesh bas7melo long writ
170,1,<MENTION> Goodnight Miss Q you take care,Goodnight Miss Q care,goodnight miss q car
171,0,"<MENTION> & <MENTION>, and sadly that plugin has no keyboard support, which form hijaxing should definitely ship with nowadays",sadly plugin keyboard support form hijaxing definitely ship nowadays,sadly plugin keyboard support form hijaxing definitely ship nowaday
172,0,"<MENTION> Yeah, not great out today",Yeah great today,yeah great today
173,1,@ work....IRRITATED!!!! UGH!!! can't wait to get home to have a beer,work .... IRRITATED UGH wait home beer,work .... irritated ugh wait home b
174,1,<MENTION> in english please pal,english pal,english p
175,1,<MENTION> swt drms u,swt drms u,swt drms u
176,1,"<MENTION> yea..i loved that movie..i cried...joel would hav loved it, definitely",yea .. love movie .. cry ... joel hav love definitely,yea .. love movie .. cry ... joel hav love definit
177,0,(via<MENTION>) are designed gallery exhibition postcards/mailers going extinct? via NYT <URL>,design gallery exhibition postcard mailer go extinct NYT,design gallery exhibition postcard mailer go extinct nyt
178,0,i hate when my boyfriend has a bad day!,hate boyfriend bad day,hate boyfriend bad day
179,1,<MENTION> you guys are amazing! thank you for the t-shirt and making my birthday rockin! p.s. love your cd,guy amaze thank t shirt make birthday rockin p.s love cd,guy amaze thank t shirt make birthday rockin p.s love cd
180,0,Radio Disney isn't playing anything here! WTF??,Radio Disney play WTF,radio disney play wtf
181,0,<MENTION> california sucks... I have to have my ferret in mex...,california suck ... ferret mex ...,california suck ... ferret mex ...
182,1,"<MENTION> I don't know how many, but there are at least two who admit to it!",know admit,know admit
183,1,<MENTION> She sleeps next to me every night Only now she won't even let me put her down to do that. She wants me to hold her,sleep night will let want hold,sleep night will let want hold
184,0,<MENTION> I wish I could. Too much work,wish work,wish work
185,0,<MENTION> I can't believe you've watched it without me,believe watch,believe watch
186,0,'so we're going to take advantage of you while you're here' and give you 3 hours a day to leave the house <-- my parents,go advantage 3 hour day leave house -- parent,go advantage 3 hour day leave house -- par
187,1,"<MENTION> Oooohhh, a whole 115! I'm jealous",Oooohhh 115 jealous,oooohhh 115 jeal
188,1,"'Soulove Deep Episode#7' is comin', full of Jackin House tunes!!!",Soulove Deep Episode#7 comin Jackin House tune,soulove deep episode#7 comin jackin house tun
189,1,<MENTION> I love that show! LOL. And I love you too! Please say hi to me.,love LOL love hello,love lol love hello
190,0,..Going home.. Without Maizie..,.. Going home .. Maizie ..,.. going home .. maizie ..
191,0,<MENTION> hahaha wow. You mean you've never been proud of me before?,hahaha wow mean proud,hahaha wow mean proud
192,1,"<MENTION> I got the e-mail from MT this morning instead. I'm so happy! I just wonder how long it'll take before it gets here, though. >_>",get e mail MT morning instead happy wonder long get,get e mail mt morning instead happy wonder long get
193,1,<MENTION> i am yours in week 10 i love you xox,week 10 love xox,week 10 love xox
194,1,<MENTION> that game was reediculous. i'm glad ozzy got a blow out,game reediculous glad ozzy get blow,game reediculous glad ozzy get blow
195,1,<MENTION> no problem keep em coming ur hittin the jackpot big time,problem -PRON- come ur hittin jackpot big time,problem -pron- come ur hittin jackpot big tim
196,1,<MENTION> what pigs?! where ARE you!,pig,pig
197,0,<MENTION> poor Amy. well at least its not hot out.,poor Amy hot,poor amy hot
198,1,<MENTION> aw bless you and your twitpic i hope i helped with the boredom for just a little bit,aw bless twitpic hope help boredom little bite,aw bless twitpic hope help boredom little bit
199,1,"<MENTION>, dude let's see Up in 3D and sneek into Drag Me To Hell! I'm reading on twitter that it's pretty good",dude let 3D sneek Drag Hell read twitter pretty good,dude let 3d sneek drag hell read twitter pretty good
200,1,<MENTION> also works in<HASHTAG> -texteditor <URL>,work -texteditor,work -texteditor
201,1,'If ur really a Prince I'll marry you' hehe!,ur Prince marry hehe,ur prince marry heh
202,1,<MENTION> Learn something by Johnny Cash! I Walk the Line,Learn Johnny Cash Walk Line,learn johnny cash walk lin
203,1,<MENTION> nyc. i read ur article about da A.I i tnhk u want adam lambert? hahahaha),nyc read ur article da A.I tnhk u want adam lambert hahahaha,nyc read ur article da a.i tnhk u want adam lambert hahahaha
204,1,"<MENTION> Stay tuned, it's coming",Stay tune come,stay tune com
205,1,<MENTION> im great and proud to be a bsb fan<HASHTAG>,be great proud bsb fan,be great proud bsb fan
206,0,<MENTION> lol i ws watching suspect zero and se7en. really spooky ones,lol w watch suspect zero se7en spooky one,lol w watch suspect zero se7en spooky on
207,1,<MENTION> I <3 U more than Shaun <3's himself,<3 U Shaun <3,<3 u shaun <3
208,0,<MENTION> OH NO! I did get your tweet. Sorry I missed it. But thank you very much for your help today.,OH tweet Sorry miss thank help today,oh tweet sorry miss thank help today
209,1,<MENTION> message me your ym address,message ym address,message ym address
210,0,<MENTION> yeah... I think she just got a little bug,yes ... think get little bug,yes ... think get little bug
211,0,'I can't take it any longer i though that we were stronger' - about someone who i thought loved me,long strong think love,long strong think lov
212,0,"<MENTION> raises, puts ppl on Furlough (like temp unemployment)...I expect nothing out of this employer",raise put ppl Furlough like temp unemployment) ... expect employer,raise put ppl furlough like temp unemployment) ... expect employ
213,0,"<MENTION> Sorry about the rain. But, Yay, for pedi! Icy Blue is a great choice! And, now 5000 peeps buy out Icy Blue polish.",Sorry rain Yay pedi Icy Blue great choice 5000 peep buy Icy Blue polish,sorry rain yay pedi icy blue great choice 5000 peep buy icy blue polish
214,1,<MENTION> If the guts don't feel good...nothing feels good,gut feel good ... feel good,gut feel good ... feel good
215,1,<MENTION> Be able to check and reply to notes and favourites,able check reply note favourite,able check reply note favourit
216,0,<MENTION> awwwwww....,awwwwww ....,awwwwww ....
217,1,"<MENTION> lol worst thing is, we're verbally talking too",lol wrong thing verbally talk,lol wrong thing verbally talk
218,1,<MENTION> thanks a bunch I will keep the offer in mind,thank bunch offer mind,thank bunch offer mind
219,0,<MENTION> so sad people are dying <URL>,sad people dye,sad people dy
220,1,<MENTION> hells yea boy u better work that shit. i aint neva been scared to take no dick lmao made that up just for u keemie,hell yea boy u well work shit be not neva scare dick lmao u keemie,hell yea boy u well work shit be not neva scare dick lmao u keemi
221,0,"Dear all, had to restore my computer and I have lost everything. Show delayed until I can get things back together.",Dear restore computer lose delay thing,dear restore computer lose delay th
222,0,<MENTION> It hates me LOL,hate LOL,hate lol
